cts_urn,author,edition_file,title,abbreviation,genre,register,form,date_from,date_to,is_core,is_fragmentary,exclude
urn:cts:latinLit:phi0631.phi001,phi0631,data/phi0631/phi001/phi0631.phi001.perseus-lat4.xml,De coniuratione Catilinae,Cat.,history,elevated,prose,-42,-41,oui,non,
urn:cts:latinLit:phi0631.phi002,phi0631,data/phi0631/phi002/phi0631.phi002.perseus-lat4.xml,Bellum Iugurthinum,Iug.,history,elevated,prose,-41,-40,oui,non,
urn:cts:latinLit:phi0631.phi003,phi0631,data/phi0631/phi003/phi0631.phi003.perseus-lat2.xml,Historiae,Hist.,history,elevated,prose,-39,-35,oui,oui,
urn:cts:latinLit:phi0914.phi001,phi0914,data/phi0914/phi001/phi0914.phi001.perseus-lat2.xml,Ab urbe condita,,history,elevated,prose,-27,17,oui,non,\d+s
urn:cts:latinLit:stoa0255.stoa004,phi1017,data/stoa0255/stoa004/stoa0255.stoa004.perseus-lat2.xml,De brevitate vitae,Brev.,philosophy,elevated,prose,49,55,oui,non,
urn:cts:latinLit:stoa0255.stoa006,phi1017,data/stoa0255/stoa006/stoa0255.stoa006.perseus-lat2.xml,Ad Helviam matrem de consolatione,Helv.,philosophy,elevated,prose,42,43,oui,non,
urn:cts:latinLit:stoa0255.stoa007,phi1017,data/stoa0255/stoa007/stoa0255.stoa007.perseus-lat2.xml,Ad Marciam de consolatione,Marc.,philosophy,elevated,prose,37,41,oui,non,
urn:cts:latinLit:stoa0255.stoa008,phi1017,data/stoa0255/stoa008/stoa0255.stoa008.perseus-lat2.xml,Ad Polybium de consolatione,Pol.,philosophy,elevated,prose,43,44,oui,oui,
urn:cts:latinLit:stoa0255.stoa009,phi1017,data/stoa0255/stoa009/stoa0255.stoa009.perseus-lat2.xml,De constantia sapientis,Const.,philosophy,elevated,prose,55,62,oui,non,
urn:cts:latinLit:stoa0255.stoa010,phi1017,data/stoa0255/stoa010/stoa0255.stoa010.perseus-lat2.xml,De ira,Ir.,philosophy,elevated,prose,41,49,oui,non,
urn:cts:latinLit:stoa0255.stoa011,phi1017,data/stoa0255/stoa011/stoa0255.stoa011.perseus-lat2.xml,De otio,Ot.,philosophy,elevated,prose,62,62,oui,oui,
urn:cts:latinLit:stoa0255.stoa012,phi1017,data/stoa0255/stoa012/stoa0255.stoa012.perseus-lat2.xml,De providentia,Prov.,philosophy,elevated,prose,62,64,oui,non,
urn:cts:latinLit:stoa0255.stoa013,phi1017,data/stoa0255/stoa013/stoa0255.stoa013.perseus-lat2.xml,De tranquillitate animi,Tranq.,philosophy,elevated,prose,49,62,oui,non,
urn:cts:latinLit:stoa0255.stoa014,phi1017,data/stoa0255/stoa014/stoa0255.stoa014.perseus-lat2.xml,De vita beata,Vit. Beat.,philosophy,elevated,prose,58,58,oui,oui,
urn:cts:latinLit:phi1017.phi001,phi1017,data/phi1017/phi001/phi1017.phi001.perseus-lat2.xml,Hercules furens,Her. F.,tragedy,elevated,verse,,,non,non,
urn:cts:latinLit:phi1017.phi002,phi1017,data/phi1017/phi002/phi1017.phi002.perseus-lat2.xml,Troades,Tro.,tragedy,elevated,verse,,,non,non,
urn:cts:latinLit:phi1017.phi003,phi1017,data/phi1017/phi003/phi1017.phi003.perseus-lat2.xml,Phoenissae,Phoen.,tragedy,elevated,verse,,,non,oui,
urn:cts:latinLit:phi1017.phi004,phi1017,data/phi1017/phi004/phi1017.phi004.perseus-lat2.xml,Medea,Med.,tragedy,elevated,verse,,,non,non,
urn:cts:latinLit:phi1017.phi005,phi1017,data/phi1017/phi005/phi1017.phi005.perseus-lat2.xml,Phaedra,Phaed.,tragedy,elevated,verse,,,non,non,
urn:cts:latinLit:phi1017.phi006,phi1017,data/phi1017/phi006/phi1017.phi006.perseus-lat2.xml,Oedipus,Oed.,tragedy,elevated,verse,,,non,non,
urn:cts:latinLit:phi1017.phi007,phi1017,data/phi1017/phi007/phi1017.phi007.perseus-lat2.xml,Agamemnon,Ag.,tragedy,elevated,verse,,,non,non,
urn:cts:latinLit:phi1017.phi008,phi1017,data/phi1017/phi008/phi1017.phi008.perseus-lat2.xml,Thyestes,Thy.,tragedy,elevated,verse,,,non,non,
urn:cts:latinLit:phi1017.phi009,phi1017,data/phi1017/phi009/phi1017.phi009.perseus-lat2.xml,Hercules Oetaeus,Her. O.,tragedy,elevated,verse,,,non,non,
urn:cts:latinLit:phi1017.phi010,phi1017,data/phi1017/phi010/phi1017.phi010.perseus-lat2.xml,Octavia,Oct.,tragedy,elevated,verse,,,non,non,
urn:cts:latinLit:phi1017.phi011,phi1017,data/phi1017/phi011/phi1017.phi011.perseus-lat2.xml,Apocolocyntosis,Apoc.,satire,familiar,prosimetrum,54,54,oui,non,
urn:cts:latinLit:phi1017.phi013,phi1017,data/phi1017/phi013/phi1017.phi013.perseus-lat2.xml,De beneficiis,Ben.,philosophy,elevated,prose,56,64,oui,non,
urn:cts:latinLit:phi1017.phi014,phi1017,data/phi1017/phi014/phi1017.phi014.perseus-lat2.xml,De clementia,Clem.,philosophy,elevated,prose,55,56,oui,oui,
urn:cts:latinLit:phi1017.phi015,phi1017,data/phi1017/phi015/phi1017.phi015.perseus-lat2.xml,Epistulae morales ad Lucilium,Ep.,letters,standard,prose,62,65,oui,non,
urn:cts:latinLit:phi1318.phi001,phi1318,data/phi1318/phi001/phi1318.phi001.perseus-lat1.xml,Epistulae,Ep.,letters,elevated,prose,97,109,oui,non,
